Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G_Hitter,AB,HR,BA,OPS,G_Pitcher,W,L,ERA,WHIP,SV,Type,Drafted Out of
2004,1,NA,1,FrRnd,1,Padres,Y,"$3,150,000 ",Matt Bush (minors),SS,1.7,8,0,0,NA,NA,217,12,11,3.75,1.2,15,HS,"Mission Bay HS (San Diego, CA)"
2004,1,NA,2,FrRnd,2,Tigers,Y,"$3,120,000 ",Justin Verlander (minors),RHP,80.9,24,50,0,0.1,0.2,509,257,141,3.24,1.12,0,4Yr,"Old Dominion University (Norfolk, VA)"
2004,1,NA,3,FrRnd,3,Mets,Y,"$3,000,000 ",Philip Humber (minors),RHP,0.9,9,11,0,0.091,0.182,97,16,23,5.31,1.42,0,4Yr,"Rice University (Houston, TX)"
2004,1,NA,4,FrRnd,4,Devil Rays,Y,"$3,200,000 ",Jeff Niemann (minors),RHP,4.3,9,13,0,0.077,0.154,97,40,26,4.08,1.29,0,4Yr,"Rice University (Houston, TX)"
2004,1,NA,5,FrRnd,5,Brewers,Y,"$2,200,000 ",Mark Rogers (minors),RHP,1.1,12,16,0,0.25,0.625,11,3,1,3.49,1.12,0,HS,"Mount Ararat School (Topsham, ME)"
2004,1,NA,6,FrRnd,6,Indians,Y,"$2,475,000 ",Jeremy Sowers (minors),LHP,1.6,4,4,0,0.25,0.75,72,18,30,5.18,1.44,0,4Yr,"Vanderbilt University (Nashville, TN)"
2004,1,NA,7,FrRnd,7,Reds,Y,"$2,300,000 ",Homer Bailey (minors),RHP,6.2,208,373,0,0.164,0.375,245,81,86,4.56,1.37,0,HS,"La Grange HS (La Grange, TX)"
2004,1,NA,8,FrRnd,8,Orioles,N,,Wade Townsend (minors),RHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4Yr,"Rice University (Houston, TX)"
2004,1,NA,9,FrRnd,9,Rockies,Y,"$2,150,000 ",Chris Nelson (minors),SS,-2.6,282,834,16,0.265,0.699,NA,NA,NA,NA,NA,NA,HS,"Redan HS (Stone Mountain, GA)"
2004,1,NA,10,FrRnd,10,Rangers,Y,"$2,025,000 ",Thomas Diamond (minors),RHP,-0.5,16,7,0,0,0.125,16,1,3,6.83,1.76,0,4Yr,"University of New Orleans (New Orleans, LA)"
2004,1,NA,11,FrRnd,11,Pirates,Y,"$1,950,000 ",Neil Walker (minors),C,19.6,1306,4583,149,0.267,0.764,1,0,0,0,1.5,0,HS,"Pine-Richland HS (Gibsonia, PA)"
2004,1,NA,12,FrRnd,12,Angels,Y,"$4,000,000 ",Jered Weaver (minors),RHP,34.6,28,55,0,0.073,0.178,331,150,98,3.63,1.19,0,4Yr,"California State University, Long Beach (Long Beach, CA)"
2004,1,NA,13,FrRnd,13,Expos,Y,"$1,750,000 ",Bill Bray (minors),LHP,2.3,243,1,0,0,0,258,13,12,3.74,1.38,3,4Yr,"College of William and Mary (Williamsburg, VA)"
2004,1,NA,14,FrRnd,14,Royals,Y,"$1,450,000 ",Billy Butler (minors),3B,11.9,1414,5105,147,0.29,0.795,NA,NA,NA,NA,NA,NA,HS,"Wolfson HS (Jacksonville, FL)"
2004,1,NA,15,FrRnd,15,Diamondbacks,Y,"$4,000,000 ",Stephen Drew (minors),SS,15.9,1268,4403,123,0.252,0.741,NA,NA,NA,NA,NA,NA,4Yr,"Florida State University (Tallahassee, FL)"
2004,1,NA,16,FrRnd,16,Blue Jays,Y,"$1,600,000 ",David Purcey (minors),LHP,0.1,7,1,0,0,0,111,7,13,4.98,1.54,1,4Yr,"University of Oklahoma (Norman, OK)"
2004,1,NA,17,FrRnd,17,Dodgers,Y,"$1,575,000 ",Scott Elbert (minors),LHP,1.5,120,6,0,0.167,0.5,127,4,3,3.54,1.33,2,HS,"Seneca HS (Seneca, MO)"
2004,1,NA,18,FrRnd,18,White Sox,Y,"$1,550,000 ",Josh Fields (minors),3B,-1.1,217,713,34,0.234,0.724,NA,NA,NA,NA,NA,NA,4Yr,"Oklahoma State University (Stillwater, OK)"
2004,1,NA,19,FrRnd,19,Cardinals,Y,"$1,525,000 ",Chris Lambert (minors),RHP,-0.8,0,0,0,NA,NA,14,1,3,7.36,1.97,0,4Yr,"Boston College (Chestnut Hill, MA)"
2004,1,NA,20,FrRnd,20,Twins,Y,"$1,500,000 ",Trevor Plouffe (minors),SS,7.3,830,2933,106,0.242,0.714,NA,NA,NA,NA,NA,NA,HS,"Crespi Carmelite HS (Encino, CA)"
2004,1,NA,21,FrRnd,21,Phillies,Y,"$1,475,000 ",Greg Golson (minors),OF,-0.6,40,41,0,0.195,0.458,NA,NA,NA,NA,NA,NA,HS,"John B. Connally HS (Austin, TX)"
2004,1,NA,22,FrRnd,22,Twins via Mariners,Y,"$1,425,000 ",*Glen Perkins (minors),LHP,8.9,24,4,0,0,0,409,35,25,3.88,1.29,120,4Yr,"University of Minnesota (Minneapolis, MN)"
2004,1,NA,23,FrRnd,23,Yankees via Astros,Y,"$1,400,000 ",*Phil Hughes (minors),RHP,11,32,18,0,0,0,290,88,79,4.52,1.31,3,HS,"Foothill HS (Santa Ana, CA)"
2004,1,NA,24,FrRnd,24,Athletics via Red Sox,Y,"$1,000,000 ",*Landon Powell (minors),C,0.2,123,363,10,0.207,0.612,NA,NA,NA,NA,NA,NA,4Yr,"University of South Carolina (Columbia, SC)"
2004,1,NA,25,FrRnd,25,Twins via Cubs,Y,"$1,000,000 ",*Kyle Waldrop (minors),RHP,0.5,0,0,0,NA,NA,24,1,1,3.62,1.52,0,HS,"Farragut HS (Knoxville, TN)"
2004,1,NA,26,FrRnd,26,Athletics,Y,"$1,325,000 ",Richie Robnett (minors),OF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4Yr,"California State University, Fresno (Fresno, CA)"
2004,1,NA,27,FrRnd,27,Marlins,Y,"$1,300,000 ",Taylor Tankersley (minors),LHP,0.6,160,2,0,0,0,168,8,3,4.58,1.52,4,4Yr,"University of Alabama (Tuscaloosa, AL)"
2004,1,NA,28,FrRnd,28,Dodgers via Yankees,Y,"$1,200,000 ",*Blake DeWitt (minors),2B,1.9,426,1119,21,0.257,0.705,NA,NA,NA,NA,NA,NA,HS,"Sikeston HS (Sikeston, MO)"
2004,1,NA,29,FrRnd,29,Royals via Giants,Y,"$1,100,000 ",*Matt Campbell (minors),lHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4Yr,"University of South Carolina (Columbia, SC)"
2004,1,NA,30,FrRnd,30,Rangers via Braves,Y,"$1,050,000 ",*Eric Hurley (minors),RHP,0.1,1,2,0,0.5,1,5,1,2,5.47,1.42,0,HS,"Wolfson HS (Jacksonville, FL)"
2004,1s,NA,31,FrRnd,31,Royals,Y,"$1,000,000 ",*J.P. Howell (minors),LHP,7.8,273,13,0,0.154,0.308,547,36,30,3.83,1.34,22,4Yr,"University of Texas at Austin (Austin, TX)"
2004,1s,NA,32,FrRnd,32,Blue Jays,Y,"$1,017,500 ",*Zach Jackson (minors),LHP,-0.8,8,9,0,0.111,0.222,22,4,5,5.81,1.57,0,4Yr,"Texas A&M University (College Station, TX)"
2004,1s,NA,33,FrRnd,33,Dodgers,Y,"$1,000,000 ",*Justin Orenduff (minors),RHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4Yr,"Virginia Commonwealth University (Richmond, VA)"
2004,1s,NA,34,FrRnd,34,White Sox,Y,"$975,000 ",*Tyler Lumsden (minors),LHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4Yr,"Clemson University (Clemson, SC)"
2004,1s,NA,35,FrRnd,35,Twins,Y,"$950,000 ",*Matt Fox (minors),RHP,0,0,0,0,NA,NA,4,0,0,4.91,1.36,0,4Yr,"University of Central Florida (Orlando, FL)"
2004,1s,NA,36,FrRnd,36,Athletics,Y,"$950,000 ",*Danny Putnam (minors),OF,-0.2,11,28,1,0.214,0.612,NA,NA,NA,NA,NA,NA,4Yr,"Stanford University (Palo Alto, CA)"
2004,1s,NA,37,FrRnd,37,Yankees,Y,"$925,000 ",*Jon Poterson (minors),C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Chandler HS (Chandler, AZ)"
2004,1s,NA,38,FrRnd,38,White Sox,Y,"$850,000 ",*Gio Gonzalez (minors),lHP,28.3,221,410,3,0.09,0.247,344,131,101,3.7,1.32,0,HS,"Monsignor Edward Pace HS (Miami Gardens, FL)"
2004,1s,NA,39,FrRnd,39,Twins,Y,"$875,000 ",*Jay Rainville (minors),RHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Bishop Hendricken HS (Warwick, RI)"
2004,1s,NA,40,FrRnd,40,Athletics,Y,"$800,000 ",*Huston Street (minors),RHP,14.5,304,2,0,0,0,668,42,34,2.95,1.07,324,4Yr,"University of Texas at Austin (Austin, TX)"
2004,1s,NA,41,FrRnd,41,Yankees,Y,"$790,000 ",*Jeff Marquez (minors),RHP,0,1,0,0,NA,NA,4,0,0,5.4,1.4,0,JC,"Sacramento City College (Sacramento, CA)"
2005,1,NA,1,FrRnd,1,Diamondbacks,Y,"$6,100,000 ",Justin Upton (minors),SS,32.3,1845,6721,325,0.261,0.812,NA,NA,NA,NA,NA,NA,HS,"Great Bridge HS (Chesapeake, VA)"
2005,1,NA,2,FrRnd,2,Royals,Y,"$4,000,000 ",Alex Gordon (minors),3B,34.4,1753,6391,190,0.257,0.749,2,0,0,19.29,4.29,0,4Yr,"University of Nebraska-Lincoln (Lincoln, NE)"
2005,1,NA,3,FrRnd,3,Mariners,Y,"$3,400,000 ",Jeff Clement (minors),C,-1.2,152,385,14,0.218,0.648,NA,NA,NA,NA,NA,NA,4Yr,"University of Southern California (Los Angeles, CA)"
2005,1,NA,4,FrRnd,4,Nationals,Y,"$2,975,000 ",Ryan Zimmerman (minors),3B,40.1,1799,6654,284,0.277,0.816,NA,NA,NA,NA,NA,NA,4Yr,"University of Virginia (Charlottesville, VA)"
2005,1,NA,5,FrRnd,5,Brewers,Y,"$2,450,000 ",Ryan Braun (minors),3B,47.1,1766,6622,352,0.296,0.891,NA,NA,NA,NA,NA,NA,4Yr,"University of Miami (Coral Gables, FL)"
2005,1,NA,6,FrRnd,6,Blue Jays,Y,"$2,400,000 ",Ricky Romero (minors),LHP,9.9,8,21,0,0.095,0.19,129,51,45,4.16,1.4,0,4Yr,"California State University, Fullerton (Fullerton, CA)"
2005,1,NA,7,FrRnd,7,Rockies,Y,"$2,300,000 ",Troy Tulowitzki (minors),SS,44.5,1291,4804,225,0.29,0.856,NA,NA,NA,NA,NA,NA,4Yr,"California State University, Long Beach (Long Beach, CA)"
2005,1,NA,8,FrRnd,8,Devil Rays,Y,"$1,500,000 ",Wade Townsend (minors),RHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4Yr,"Rice University (Houston, TX)"
2005,1,NA,9,FrRnd,9,Mets,Y,"$3,550,000 ",Mike Pelfrey (minors),RHP,5.8,148,268,0,0.105,0.275,275,68,103,4.68,1.51,1,4Yr,"Wichita State University (Wichita, KS)"
2005,1,NA,10,FrRnd,10,Tigers,Y,"$2,650,000 ",Cameron Maybin (minors),OF,13.5,1162,3824,72,0.254,0.697,NA,NA,NA,NA,NA,NA,HS,"T. C. Roberson HS (Asheville, NC)"
2005,1,NA,11,FrRnd,11,Pirates,Y,"$1,900,000 ",Andrew McCutchen (minors),OF,48.6,2007,7425,299,0.276,0.835,NA,NA,NA,NA,NA,NA,HS,"Fort Meade HS (Fort Meade, FL)"
2005,1,NA,12,FrRnd,12,Reds,Y,"$1,800,000 ",Jay Bruce (minors),OF,19.9,1650,5964,319,0.244,0.781,NA,NA,NA,NA,NA,NA,HS,"West Brook HS (Beaumont, TX)"
2005,1,NA,13,FrRnd,13,Orioles,Y,"$1,700,000 ",Brandon Snyder (minors),C,-0.1,122,200,9,0.24,0.731,NA,NA,NA,NA,NA,NA,HS,"Westfield HS (Chantilly, VA)"
2005,1,NA,14,FrRnd,14,Indians,Y,"$1,695,000 ",Trevor Crowe (minors),OF,0.2,265,818,4,0.24,0.615,NA,NA,NA,NA,NA,NA,4Yr,"University of Arizona (Tucson, AZ)"
2005,1,NA,15,FrRnd,15,White Sox,Y,"$1,570,000 ",Lance Broadway (minors),RHP,0.3,8,0,0,NA,NA,27,2,2,5.24,1.6,0,4Yr,"Texas Christian University (Fort Worth, TX)"
2005,1,NA,16,FrRnd,16,Marlins,Y,"$1,600,000 ",Chris Volstad (minors),RHP,2,130,201,0,0.139,0.317,170,37,58,5,1.45,0,HS,"Palm Beach Gardens HS (Palm Beach Gardens, FL)"
2005,1,NA,17,FrRnd,17,Yankees via Phillies,Y,"$1,575,000 ",*C.J. Henry (minors),SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Putnam City HS (Oklahoma City, OK)"
2005,1,NA,18,FrRnd,18,Padres,Y,"$1,550,000 ",Cesar Carrillo (minors),RHP,-0.7,3,3,0,0,0,3,1,2,13.06,2.71,0,4Yr,"University of Miami (Coral Gables, FL)"
2005,1,NA,19,FrRnd,19,Rangers,Y,"$1,525,000 ",John Mayberry (minors),OF,1.5,574,1386,56,0.235,0.72,NA,NA,NA,NA,NA,NA,4Yr,"Stanford University (Palo Alto, CA)"
2005,1,NA,20,FrRnd,20,Cubs,Y,"$1,750,000 ",Mark Pawelek (minors),LHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Springville HS (Springville, UT)"
2005,1,NA,21,FrRnd,21,Athletics,Y,"$1,475,000 ",Cliff Pennington (minors),SS,10.1,971,2799,36,0.242,0.648,1,0,0,9,3,0,4Yr,"Texas A&M University (College Station, TX)"
2005,1,NA,22,FrRnd,22,Marlins via Giants,Y,"$1,225,000 ",*Aaron Thompson (minors),LHP,-0.1,10,0,0,NA,NA,52,1,3,4.94,1.52,0,HS,"Second Baptist School (Houston, TX)"
2005,1,NA,23,FrRnd,23,Red Sox via Angels,Y,"$1,400,000 ",*Jacoby Ellsbury (minors),OF,31.2,1235,4846,104,0.284,0.76,NA,NA,NA,NA,NA,NA,4Yr,"Oregon State University (Corvallis, OR)"
2005,1,NA,24,FrRnd,24,Astros,Y,"$1,375,000 ",Brian Bogusevic (minors),LHP,2.1,321,748,19,0.238,0.684,1,0,0,18,3,0,4Yr,"Tulane University (New Orleans, LA)"
2005,1,NA,25,FrRnd,25,Twins,Y,"$1,350,000 ",Matt Garza (minors),RHP,12.5,152,274,0,0.08,0.201,290,93,106,4.09,1.32,1,4Yr,"California State University, Fresno (Fresno, CA)"
2005,1,NA,26,FrRnd,26,Red Sox via Dodgers,Y,"$1,325,000 ",*Craig Hansen (minors),RHP,-1.9,27,0,0,NA,NA,95,4,9,6.34,1.72,3,4Yr,"St. John's University (Queens, NY)"
2005,1,NA,27,FrRnd,27,Braves,Y,"$1,300,000 ",Joey Devine (minors),RHP,2,30,1,0,0,0,93,8,3,2.75,1.25,1,4Yr,"North Carolina State University (Raleigh, NC)"
2005,1,NA,28,FrRnd,28,Cardinals via Red Sox,Y,"$1,000,000 ",*Colby Rasmus (minors),OF,20.2,1092,3704,166,0.241,0.745,NA,NA,NA,NA,NA,NA,HS,"Russell County HS (Seale, AL)"
2005,1,NA,29,FrRnd,29,Marlins via Yankees,Y,"$1,000,000 ",*Jacob Marceaux (minors),RHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4Yr,"McNeese State University (Lake Charles, LA)"
2005,1,NA,30,FrRnd,30,Cardinals,Y,"$1,100,000 ",Tyler Greene (minors),SS,-0.4,288,675,17,0.224,0.645,NA,NA,NA,NA,NA,NA,4Yr,"Georgia Institute of Technology (Atlanta, GA)"
2005,1s,NA,31,FrRnd,31,Diamondbacks,Y,"$1,025,000 ",*Matt Torra (minors),RHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4Yr,"University of Massachusetts Amherst (Amherst, MA)"
2005,1s,NA,32,FrRnd,32,Rockies,Y,"$1,025,000 ",*Chaz Roe (minors),RHP,1.2,62,1,0,0,0,245,11,8,3.89,1.34,3,HS,"Lafayette HS (Lexington, KY)"
2005,1s,NA,33,FrRnd,33,Indians,Y,"$1,000,000 ",*Johnny Drennen (minors),OF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Rancho Bernardo HS (San Diego, CA)"
2005,1s,NA,34,FrRnd,34,Marlins,Y,"$975,000 ",*Ryan Tucker (minors),RHP,-1.3,11,7,0,0,0,18,2,3,8.14,1.88,0,HS,"Temple City HS (Temple City, CA)"
2005,1s,NA,35,FrRnd,35,Padres,Y,"$950,000 ",*Ces�r Ramos (minors),LHP,1.4,43,6,0,0,0,267,10,15,4.02,1.4,2,4Yr,"California State University, Long Beach (Long Beach, CA)"
2005,1s,NA,36,FrRnd,36,Athletics,Y,"$950,000 ",*Travis Buck (minors),OF,2.8,253,810,20,0.243,0.715,NA,NA,NA,NA,NA,NA,4Yr,"Arizona State University (Tempe, AZ)"
2005,1s,NA,37,FrRnd,37,Angels,Y,"$925,000 ",*Trevor Bell (minors),RHP,-1.2,8,1,0,0,0,54,4,8,5.57,1.76,0,HS,"Crescenta Valley HS (La Crescenta, CA)"
2005,1s,NA,38,FrRnd,38,Astros,Y,"$900,000 ",*Eli Iorg (minors),OF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4Yr,"University of Tennessee (Knoxville, TN)"
2005,1s,NA,39,FrRnd,39,Twins,Y,"$900,000 ",*Hank Sanchez (minors),1B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Mission Bay HS (San Diego, CA)"
2005,1s,NA,40,FrRnd,40,Dodgers,N,,*Luke Hochevar (minors),RHP,3.7,18,16,0,0.063,0.125,279,46,65,4.98,1.34,3,4Yr,"University of Tennessee (Knoxville, TN)"
2005,1s,NA,41,FrRnd,41,Braves,Y,"$825,000 ",*Beau Jones (minors),LHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Destrehan HS (Destrehan, LA)"
2005,1s,NA,42,FrRnd,42,Red Sox,Y,"$800,000 ",*Clay Buchholz (minors),RHP,16.8,29,46,0,0.087,0.234,236,90,69,3.98,1.3,0,JC,"Angelina College (Lufkin, TX)"
2005,1s,NA,43,FrRnd,43,Cardinals,Y,"$800,000 ",*Mark McCormick (minors),RHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4Yr,"Baylor University (Waco, TX)"
2005,1s,NA,44,FrRnd,44,Marlins,Y,"$775,000 ",*Sean West (minors),LHP,-0.1,21,34,0,0.059,0.147,22,8,8,5.03,1.58,0,HS,"Captain Shreve HS (Shreveport, LA)"
2005,1s,NA,45,FrRnd,45,Red Sox,Y,"$762,000 ",*Jed Lowrie (minors),2B,15.8,1307,4615,121,0.257,0.736,NA,NA,NA,NA,NA,NA,4Yr,"Stanford University (Palo Alto, CA)"
2005,1s,NA,46,FrRnd,46,Cardinals,Y,"$675,000 ",*Tyler Herron (minors),RHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Wellington HS (Wellington, FL)"
2005,1s,NA,47,FrRnd,47,Red Sox,Y,"$730,000 ",*Michael Bowden (minors),RHP,0.8,64,2,0,0,0,103,3,5,4.51,1.4,0,HS,"Waubonsie Valley HS (Aurora, IL)"
2005,1s,NA,48,FrRnd,48,Orioles,Y,"$650,000 ",*Garrett Olson (minors),LHP,-2.7,11,6,0,0.167,0.31,104,14,22,6.26,1.67,1,4Yr,"California Polytechnic State University, San Luis Obispo (San Luis Obispo, CA)"
2006,1,NA,1,FrRnd,1,Royals,Y,"$3,500,000 ",Luke Hochevar (minors),RHP,3.7,18,16,0,0.063,0.125,279,46,65,4.98,1.34,3,,
2006,1,NA,2,FrRnd,2,Rockies,Y,"$3,250,000 ",Greg Reynolds (minors),RHP,-1.5,31,30,0,0.167,0.46,33,6,11,7.01,1.65,0,4Yr,"Stanford University (Palo Alto, CA)"
2006,1,NA,3,FrRnd,3,Devil Rays,Y,"$3,000,000 ",Evan Longoria (minors),3B,58.6,1986,7306,342,0.264,0.804,NA,NA,NA,NA,NA,NA,4Yr,"California State University, Long Beach (Long Beach, CA)"
2006,1,NA,4,FrRnd,4,Pirates,Y,"$2,750,000 ",Brad Lincoln (minors),RHP,0.4,53,38,0,0.237,0.52,99,9,11,4.74,1.39,1,4Yr,"University of Houston (Houston, TX)"
2006,1,NA,5,FrRnd,5,Mariners,Y,"$2,450,000 ",Brandon Morrow (minors),RHP,11.1,115,24,0,0,0.04,334,51,43,3.96,1.31,40,4Yr,"University of California, Berkeley (Berkeley, CA)"
2006,1,NA,6,FrRnd,6,Tigers,Y,"$3,550,000 ",Andrew Miller (minors),LHP,7.8,185,74,0,0.054,0.108,612,55,55,4.03,1.34,63,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)"
2006,1,NA,7,FrRnd,7,Dodgers,Y,"$2,300,000 ",Clayton Kershaw (minors),LHP,79.9,357,698,1,0.162,0.39,425,210,92,2.48,1,0,HS,"Highland Park HS (Dallas, TX)"
2006,1,NA,8,FrRnd,8,Reds,Y,"$2,000,000 ",Drew Stubbs (minors),OF,7.9,911,2834,92,0.242,0.704,NA,NA,NA,NA,NA,NA,4Yr,"University of Texas at Austin (Austin, TX)"
2006,1,NA,9,FrRnd,9,Orioles,Y,"$2,100,000 ",Billy Rowell (minors),3B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Bishop Eustace Preparatory School (Pennsauken, NJ)"
