Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G_Hitter,AB,HR,BA,OPS,G_Pitcher,W,L,ERA,WHIP,SV,Type,Drafted Out of
2006,1,NA,10,FrRnd,10,Giants,Y,"$2,025,000 ",Tim Lincecum (minors),RHP,19.5,262,474,0,0.112,0.3,278,110,89,3.74,1.29,1,4Yr,"University of Washington (Seattle, WA)"
2006,1,NA,11,FrRnd,11,Diamondbacks,Y,"$3,000,000 ",Max Scherzer (minors),RHP,75,238,464,1,0.168,0.381,457,214,108,3.15,1.08,0,4Yr,"University of Missouri (Columbia, MO)"
2006,1,NA,12,FrRnd,12,Rangers,Y,"$1,600,000 ",Kasey Kiker (minors),LHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Russell County HS (Seale, AL)"
2006,1,NA,13,FrRnd,13,Cubs,Y,"$1,475,000 ",Tyler Colvin (minors),OF,0.9,441,1215,49,0.239,0.733,NA,NA,NA,NA,NA,NA,4Yr,"Clemson University (Clemson, SC)"
2006,1,NA,14,FrRnd,14,Blue Jays,Y,"$1,700,000 ",Travis Snider (minors),OF,4.3,630,1783,54,0.244,0.709,1,0,0,18,3,0,HS,"Henry M. Jackson HS (Mill Creek, WA)"
2006,1,NA,15,FrRnd,15,Nationals,Y,"$1,625,000 ",Chris Marrero (minors),OF,-1.5,54,163,1,0.209,0.493,NA,NA,NA,NA,NA,NA,HS,"Monsignor Edward Pace HS (Miami Gardens, FL)"
2006,1,NA,16,FrRnd,16,Brewers,Y,"$1,550,000 ",Jeremy Jeffress (minors),RHP,8.8,290,3,0,0,0,414,32,12,3.08,1.32,52,HS,"Halifax County HS (South Boston, VA)"
2006,1,NA,17,FrRnd,17,Padres,Y,"$1,575,000 ",Matt Antonelli (minors),3B,-0.3,21,57,1,0.193,0.573,NA,NA,NA,NA,NA,NA,4Yr,"Wake Forest University (Winston-Salem, NC)"
2006,1,NA,18,FrRnd,18,Phillies via Mets,Y,"$1,550,000 ",*Kyle Drabek (minors),RHP,-0.1,3,2,0,0,0,43,8,15,5.26,1.7,0,HS,"The Woodlands HS (The Woodlands, TX)"
2006,1,NA,19,FrRnd,19,Marlins,Y,"$1,525,000 ",Brett Sinkbeil (minors),RHP,-0.2,3,0,0,NA,NA,3,0,0,13.5,3.5,0,4Yr,"Missouri State University (Springfield, MO)"
2006,1,NA,20,FrRnd,20,Twins,Y,"$1,500,000 ",Chris Parmelee (minors),OF,0,311,917,30,0.248,0.717,NA,NA,NA,NA,NA,NA,HS,"Chino Hills HS (Chino Hills, CA)"
2006,1,NA,21,FrRnd,21,Yankees via Phillies,Y,"$2,250,000 ",*Ian Kennedy (minors),RHP,16.9,216,321,1,0.131,0.394,497,104,114,4.16,1.29,66,4Yr,"University of Southern California (Los Angeles, CA)"
2006,1,NA,22,FrRnd,22,Nationals via Athletics,Y,"$1,425,000 ",*Colton Willems (minors),RHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"John Carroll Catholic HS (Fort Pierce, FL)"
2006,1,NA,23,FrRnd,23,Astros,Y,"$1,400,000 ",Maxwell Sapp (minors),C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Bishop Moore HS (Orlando, FL)"
2006,1,NA,24,FrRnd,24,Braves,Y,"$1,375,000 ",Cody Johnson (minors),OF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"A. Crawford Mosley HS (Lynn Haven, FL)"
2006,1,NA,25,FrRnd,25,Angels via Indians,Y,"$1,350,000 ",*Hank Conger (minors),C,2,373,1013,31,0.221,0.66,NA,NA,NA,NA,NA,NA,HS,"Huntington Beach HS (Huntington Beach, CA)"
2006,1,NA,26,FrRnd,26,Dodgers via Angels,Y,"$1,325,000 ",*Bryan Morris (minors),RHP,2.7,219,7,0,0.143,0.286,231,20,12,3.13,1.37,1,JC,"Motlow State Community College (Lynchburg, TN)"
2006,1,NA,27,FrRnd,27,Red Sox,Y,"$1,300,000 ",Jason Place (minors),OF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Wren HS (Piedmont, SC)"
2006,1,NA,28,FrRnd,28,Red Sox via Yankees,Y,"$1,550,000 ",*Daniel Bard (minors),RHP,8.5,82,3,0,0.333,0.667,408,31,35,3.74,1.3,66,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)"
2006,1,NA,29,FrRnd,29,White Sox,Y,"$1,050,000 ",Kyle McCulloch (minors),RHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4Yr,"University of Texas at Austin (Austin, TX)"
2006,1,NA,30,FrRnd,30,Cardinals,Y,"$950,000 ",Adam Ottavino (minors),RHP,14.9,354,24,0,0.083,0.203,664,39,41,3.42,1.28,45,4Yr,"Northeastern University (Boston, MA)"
2006,1s,NA,31,FrRnd,31,Dodgers,Y,"$1,000,000 ",*Preston Mattingly (minors),SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Central HS (Evansville, IN)"
2006,1s,NA,32,FrRnd,32,Orioles,Y,"$1,000,000 ",*Pedro Beato (minors),RHP,-1,67,0,0,NA,NA,85,4,2,4.31,1.3,0,JC,"St. Petersburg College (St. Petersburg, FL)"
2006,1s,NA,33,FrRnd,33,Giants,Y,"$1,000,000 ",*Emmanuel Burriss (minors),SS,-2.7,325,768,1,0.237,0.565,NA,NA,NA,NA,NA,NA,4Yr,"Kent State University (Kent, OH)"
2006,1s,NA,34,FrRnd,34,Diamondbacks,Y,"$900,000 ",*Brooks Brown (minors),RHP,0.9,63,1,0,0,0,64,1,4,3.97,1.24,0,4Yr,"University of Georgia (Athens, GA)"
2006,1s,NA,35,FrRnd,35,Padres,Y,"$950,000 ",*Kyler Burke (minors),OF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Ooltewah HS (Ooltewah, TN)"
2006,1s,NA,36,FrRnd,36,Marlins,Y,"$950,000 ",*Chris Coghlan (minors),3B,1.1,801,2580,53,0.258,0.731,NA,NA,NA,NA,NA,NA,4Yr,"University of Mississippi (Oxford, MS)"
2006,1s,NA,37,FrRnd,37,Phillies,Y,"$925,000 ",*Adrian Cardenas (minors),SS,-0.3,45,60,0,0.183,0.552,NA,NA,NA,NA,NA,NA,HS,"Monsignor Edward Pace HS (Miami Gardens, FL)"
2006,1s,NA,38,FrRnd,38,Braves,Y,"$900,000 ",*Cory Rasmus (minors),RHP,0.5,10,1,0,0,0,84,4,5,4.17,1.33,0,HS,"Russell County HS (Seale, AL)"
2006,1s,NA,39,FrRnd,39,Indians,Y,"$900,000 ",*David Huff (minors),LHP,-1.8,22,8,0,0.125,0.25,120,25,30,5.17,1.51,0,4Yr,"University of California, Los Angeles (Los Angeles, CA)"
2006,1s,NA,40,FrRnd,40,Red Sox,Y,"$850,000 ",*Kris Johnson (minors),LHP,0,5,3,0,0,0,7,0,3,5.32,1.77,0,4Yr,"Wichita State University (Wichita, KS)"
2006,1s,NA,41,FrRnd,41,Yankees,Y,"$1,150,000 ",*Joba Chamberlain (minors),RHP,7.6,24,6,0,0,0.143,385,25,21,3.81,1.38,7,4Yr,"University of Nebraska-Lincoln (Lincoln, NE)"
2006,1s,NA,42,FrRnd,42,Cardinals,Y,"$800,000 ",*Chris Perez (minors),RHP,4.7,125,2,0,0,0,393,16,24,3.51,1.24,133,4Yr,"University of Miami (Coral Gables, FL)"
2006,1s,NA,43,FrRnd,43,Braves,Y,"$800,000 ",*Steve Evarts (minors),LHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"T. R. Robinson HS (Tampa, FL)"
2006,1s,NA,44,FrRnd,44,Red Sox,Y,"$775,000 ",*Caleb Clay (minors),RHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Cullman HS (Cullman, AL)"
2007,1,NA,1,FrRnd,1,Devil Rays,Y,"$5,600,000 ",David Price (minors),LHP,40.3,59,65,0,0.123,0.298,400,157,82,3.32,1.16,3,4Yr,"Vanderbilt University (Nashville, TN)"
2007,1,NA,2,FrRnd,2,Royals,Y,"$4,000,000 ",Mike Moustakas (minors),SS,12.9,1427,5060,215,0.247,0.739,NA,NA,NA,NA,NA,NA,HS,"Chatsworth Charter HS (Chatsworth, CA)"
2007,1,NA,3,FrRnd,3,Cubs,Y,"$3,200,000 ",Josh Vitters (minors),3B,-1.3,36,99,2,0.121,0.395,NA,NA,NA,NA,NA,NA,HS,"Cypress HS (Cypress, CA)"
2007,1,NA,4,FrRnd,4,Pirates,Y,"$2,475,000 ",Daniel Moskos (minors),LHP,0.2,30,0,0,NA,NA,31,1,1,2.96,1.56,0,4Yr,"Clemson University (Clemson, SC)"
2007,1,NA,5,FrRnd,5,Orioles,Y,"$6,000,000 ",Matt Wieters (minors),C,18.3,1167,3994,146,0.249,0.722,NA,NA,NA,NA,NA,NA,4Yr,"Georgia Institute of Technology (Atlanta, GA)"
2007,1,NA,6,FrRnd,6,Nationals,Y,"$2,150,000 ",Ross Detwiler (minors),LHP,0.6,203,121,0,0.066,0.155,307,30,51,4.56,1.46,2,4Yr,"Missouri State University (Springfield, MO)"
2007,1,NA,7,FrRnd,7,Brewers,Y,"$2,000,000 ",Matt LaPorta (minors),1B,-1,291,967,31,0.238,0.695,NA,NA,NA,NA,NA,NA,4Yr,"University of Florida (Gainesville, FL)"
2007,1,NA,8,FrRnd,8,Rockies,Y,"$1,800,000 ",Casey Weathers (minors),RHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4Yr,"Vanderbilt University (Nashville, TN)"
2007,1,NA,9,FrRnd,9,Diamondbacks,Y,"$2,100,000 ",Jarrod Parker (minors),RHP,6.5,4,8,0,0.125,0.375,62,25,16,3.68,1.24,0,HS,"Norwell HS (Ossian, IN)"
2007,1,NA,10,FrRnd,10,Giants,Y,"$2,000,000 ",Madison Bumgarner (minors),LHP,37.3,313,633,19,0.172,0.525,358,134,124,3.47,1.15,0,HS,"South Caldwell HS (Hudson, NC)"
2007,1,NA,11,FrRnd,11,Mariners,Y,"$1,900,000 ",Phillippe Aumont (minors),RHP,-0.7,44,1,0,0,0.5,46,1,6,6.8,1.99,2,HS,"Ecole Du Versant (Gatineau, QC)"
2007,1,NA,12,FrRnd,12,Marlins,Y,"$1,800,000 ",Matt Dominguez (minors),3B,1.2,362,1272,42,0.231,0.644,NA,NA,NA,NA,NA,NA,HS,"Chatsworth Charter HS (Chatsworth, CA)"
2007,1,NA,13,FrRnd,13,Indians,Y,"$1,575,000 ",Beau Mills (minors),1B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4Yr,"Lewis-Clark State College (Lewiston, ID)"
2007,1,NA,14,FrRnd,14,Braves,Y,"$1,700,000 ",Jason Heyward (minors),OF,40.7,1703,5861,174,0.258,0.75,NA,NA,NA,NA,NA,NA,HS,"Henry County HS (McDonough, GA)"
2007,1,NA,15,FrRnd,15,Reds,Y,"$1,400,000 ",Devin Mesoraco (minors),C,4.7,468,1402,58,0.232,0.715,NA,NA,NA,NA,NA,NA,HS,"Punxsutawney HS (Punxsutawney, PA)"
2007,1,NA,16,FrRnd,16,Blue Jays via Rangers,Y,"$1,440,000 ",*Kevin Ahrens (minors),3B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Memorial HS (Houston, TX)"
2007,1,NA,17,FrRnd,17,Rangers via Astros,Y,"$1,497,000 ",*Blake Beavan (minors),RHP,1.7,1,2,0,0,0,54,16,20,4.61,1.27,0,HS,"Irving HS (Irving, TX)"
2007,1,NA,18,FrRnd,18,Cardinals,Y,"$1,395,000 ",Pete Kozma (minors),SS,-0.5,344,746,5,0.213,0.564,NA,NA,NA,NA,NA,NA,HS,"Owasso HS (Owasso, OK)"
2007,1,NA,19,FrRnd,19,Phillies,Y,"$1,372,500 ",Joe Savery (minors),LHP,-0.1,37,2,0,0,0,44,3,2,3.83,1.26,0,4Yr,"Rice University (Houston, TX)"
2007,1,NA,20,FrRnd,20,Dodgers via Red Sox,Y,"$1,350,000 ",*Chris Withrow (minors),RHP,1.4,84,1,0,0,0,92,6,0,3.07,1.14,1,HS,"Midland HS (Midland, TX)"
2007,1,NA,21,FrRnd,21,Blue Jays,Y,"$1,372,500 ",J.P. Arencibia (minors),C,1.9,466,1573,80,0.212,0.67,1,0,0,0,1,0,4Yr,"University of Tennessee (Knoxville, TN)"
2007,1,NA,22,FrRnd,22,Giants via Dodgers,Y,"$1,290,000 ",*Tim Alderson (minors),RHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Horizon HS (Scottsdale, AZ)"
2007,1,NA,23,FrRnd,23,Padres,Y,"$1,260,000 ",Nick Schmidt (minors),LHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4Yr,"University of Arkansas (Fayetteville, AR)"
2007,1,NA,24,FrRnd,24,Rangers via Angels,Y,"$1,237,500 ",*Michael Main (minors),RHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"DeLand HS (DeLand, FL)"
2007,1,NA,25,FrRnd,25,White Sox,Y,"$1,200,000 ",Aaron Poreda (minors),LHP,0.2,9,0,0,NA,NA,40,3,1,4.67,1.73,0,4Yr,"University of San Francisco (San Francisco, CA)"
2007,1,NA,26,FrRnd,26,Athletics,Y,"$1,192,500 ",James Simmons (minors),RHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4Yr,"University of California, Riverside (Riverside, CA)"
2007,1,NA,27,FrRnd,27,Tigers,Y,"$3,580,000 ",Rick Porcello (minors),RHP,18.8,24,45,0,0.178,0.4,355,150,125,4.4,1.32,0,HS,"Seton Hall Preparatory School (West Orange, NJ)"
2007,1,NA,28,FrRnd,28,Twins,Y,"$750,000 ",Ben Revere (minors),OF,7.9,857,3138,7,0.284,0.662,NA,NA,NA,NA,NA,NA,HS,"Lexington Catholic HS (Lexington, KY)"
2007,1,NA,29,FrRnd,29,Giants via Mets,Y,"$1,000,000 ",*Wendell Fairley (minors),OF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"George County HS (Lucedale, MS)"
2007,1,NA,30,FrRnd,30,Yankees,Y,"$3,350,000 ",Andrew Brackman (minors),RHP,0.1,0,0,0,NA,NA,3,0,0,0,1.71,0,4Yr,"North Carolina State University (Raleigh, NC)"
2007,1s,NA,31,FrRnd,31,Nationals,Y,"$1,000,000 ",*Josh Smoker (minors),LHP,-0.7,75,4,0,0,0,82,4,2,5.35,1.7,0,HS,"Calhoun HS (Calhoun, GA)"
2007,1s,NA,32,FrRnd,32,Giants,Y,"$915,750 ",*Nick Noonan (minors),2B,-1.2,83,145,1,0.193,0.473,NA,NA,NA,NA,NA,NA,HS,"Francis Parker School (San Diego, CA)"
2007,1s,NA,33,FrRnd,33,Braves,Y,"$900,000 ",*Jon Gilmore (minors),3B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Iowa City HS (Iowa City, IA)"
2007,1s,NA,34,FrRnd,34,Reds,Y,"$825,000 ",*Todd Frazier (minors),3B,25.2,1244,4392,218,0.241,0.763,1,0,0,0,0,0,4Yr,"Rutgers, the State University of New Jersey (New Brunswick, NJ)"
2007,1s,NA,35,FrRnd,35,Rangers,Y,"$800,000 ",*Julio Borbon (minors),OF,1.7,294,802,8,0.273,0.665,NA,NA,NA,NA,NA,NA,4Yr,"University of Tennessee (Knoxville, TN)"
2007,1s,NA,36,FrRnd,36,Cardinals,Y,"$650,000 ",*Clayton Mortensen (minors),RHP,-0.5,19,16,0,0,0.056,74,6,11,4.68,1.44,0,4Yr,"Gonzaga University (Spokane, WA)"
2007,1s,NA,37,FrRnd,37,Phillies,Y,"$832,500 ",*Travis d'Arnaud (minors),C,7.4,785,2725,108,0.25,0.735,NA,NA,NA,NA,NA,NA,HS,"Lakewood HS (Lakewood, CA)"
2007,1s,NA,38,FrRnd,38,Blue Jays,Y,"$810,000 ",*Brett Cecil (minors),LHP,6.7,122,7,0,0,0,443,44,47,4.29,1.36,12,4Yr,"University of Maryland (College Park, MD)"
2007,1s,NA,39,FrRnd,39,Dodgers,Y,"$787,500 ",*James Adkins (minors),LHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4Yr,"University of Tennessee (Knoxville, TN)"
2007,1s,NA,40,FrRnd,40,Padres,Y,"$765,000 ",*Kellen Kulbacki (minors),OF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4Yr,"James Madison University (Harrisonburg, VA)"
2007,1s,NA,41,FrRnd,41,Athletics,Y,"$742,500 ",*Sean Doolittle (minors),1B,9.9,189,4,0,0,0,463,26,24,3.2,1.01,112,4Yr,"University of Virginia (Charlottesville, VA)"
2007,1s,NA,42,FrRnd,42,Mets,Y,"$720,000 ",*Eddie Kunz (minors),RHP,-0.2,4,0,0,NA,NA,4,0,0,13.5,2.25,0,4Yr,"Oregon State University (Corvallis, OR)"
2007,1s,NA,43,FrRnd,43,Giants,Y,"$708,750 ",*Jackson Williams (minors),C,0.1,14,24,1,0.208,0.742,NA,NA,NA,NA,NA,NA,4Yr,"University of Oklahoma (Norman, OK)"
2007,1s,NA,44,FrRnd,44,Rangers,Y,"$1,000,000 ",*Neil Ram�rez (minors),RHP,0.3,109,2,0,0,0,185,4,8,4.46,1.42,3,HS,"Kempsville HS (Virginia Beach, VA)"
2007,1s,NA,45,FrRnd,45,Blue Jays,Y,"$675,000 ",*Justin Jackson (minors),SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"T. C. Roberson HS (Asheville, NC)"
2007,1s,NA,46,FrRnd,46,Padres,Y,"$661,500 ",*Drew Cumberland (minors),SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Pace HS (Pace, FL)"
2007,1s,NA,47,FrRnd,47,Mets,Y,"$657,000 ",*Nathan Vineyard (minors),LHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Woodland HS (Cartersville, GA)"
2007,1s,NA,48,FrRnd,48,Cubs,Y,"$652,500 ",*Josh Donaldson (minors),C,46.8,1383,5022,279,0.261,0.847,1,0,0,0,0,0,4Yr,"Auburn University (Auburn, AL)"
2007,1s,NA,49,FrRnd,49,Nationals,Y,"$630,000 ",*Michael Burgess (minors),OF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Hillsborough HS (Tampa, FL)"
2007,1s,NA,50,FrRnd,50,Diamondbacks,Y,"$620,000 ",*Wes Roemer (minors),RHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4Yr,"California State University, Fullerton (Fullerton, CA)"
2007,1s,NA,51,FrRnd,51,Giants,Y,"$607,500 ",*Charlie Culberson (minors),2B,-0.1,586,1212,30,0.248,0.68,8,0,0,1.23,1.36,0,HS,"Calhoun HS (Calhoun, GA)"
2007,1s,NA,52,FrRnd,52,Mariners,Y,"$603,000 ",*Matt Mangini (minors),3B,-0.2,11,38,0,0.211,0.461,NA,NA,NA,NA,NA,NA,4Yr,"Oklahoma State University (Stillwater, OK)"
2007,1s,NA,53,FrRnd,53,Reds,Y,"$594,000 ",*Kyle Lotzkar (minors),RHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2007,1s,NA,54,FrRnd,54,Rangers,Y,"$585,000 ",*Tommy Hunter (minors),RHP,11,109,5,0,0.2,0.4,508,56,47,4.07,1.24,22,4Yr,"University of Alabama (Tuscaloosa, AL)"
2007,1s,NA,55,FrRnd,55,Red Sox,Y,"$571,500 ",*Nick Hagadone (minors),LHP,-0.2,7,0,0,NA,NA,143,3,2,4.72,1.37,1,4Yr,"University of Washington (Seattle, WA)"
2007,1s,NA,56,FrRnd,56,Blue Jays,Y,"$462,500 ",*Trystan Magnuson (minors),RHP,-0.2,0,0,0,NA,NA,9,0,0,6.14,1.36,0,4Yr,"University of Louisville (Louisville, KY)"
2007,1s,NA,57,FrRnd,57,Padres,Y,"$552,500 ",*Mitch Canham (minors),C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4Yr,"Oregon State University (Corvallis, OR)"
2007,1s,NA,58,FrRnd,58,Angels,Y,"$553,300 ",*Jon Bachanov (minors),RHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"University HS (Orlando, FL)"
2007,1s,NA,59,FrRnd,59,Athletics,Y,"$544,500 ",*Corey Brown (minors),OF,0.4,39,41,2,0.171,0.635,NA,NA,NA,NA,NA,NA,4Yr,"Oklahoma State University (Stillwater, OK)"
2007,1s,NA,60,FrRnd,60,Tigers,Y,"$540,000 ",*Brandon Hamilton (minors),RHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Stanhope Elmore HS (Millbrook, AL)"
2007,1s,NA,61,FrRnd,61,Diamondbacks,Y,"$531,000 ",*Ed Easley (minors),C,-0.1,4,6,0,0,0,NA,NA,NA,NA,NA,NA,4Yr,"Mississippi State University (Mississippi State, MS)"
2007,1s,NA,62,FrRnd,62,Red Sox,Y,"$571,000 ",*Ryan Dent (minors),SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Woodrow Wilson HS (Long Beach, CA)"
2007,1s,NA,63,FrRnd,63,Padres,Y,"$515,000 ",*Cory Luebke (minors),LHP,2.4,61,49,0,0.143,0.319,64,10,13,3.52,1.19,0,4Yr,"The Ohio State University (Columbus, OH)"
2007,1s,NA,64,FrRnd,64,Padres,Y,"$517,500 ",*Danny Payne (minors),OF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4Yr,"Georgia Institute of Technology (Atlanta, GA)"
2008,1,NA,1,FrRnd,1,Rays,Y,"$6,150,000 ",Tim Beckham (minors),SS,3.2,484,1639,63,0.247,0.724,NA,NA,NA,NA,NA,NA,HS,"Griffin HS (Griffin, GA)"
