Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G_Hitter,AB,HR,BA,OPS,G_Pitcher,W,L,ERA,WHIP,SV,Type,Drafted Out of
2011,1s,NA,58,FrRnd,58,Padres,Y,"$624,600 ",*Jace Peterson (minors),SS,3.3,873,2393,42,0.228,0.656,6,0,0,12,2.83,0,4Yr,"McNeese State University (Lake Charles, LA)"
2011,1s,NA,59,FrRnd,59,Rays,Y,"$370,000 ",*Grayson Garvin (minors),LHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4Yr,"Vanderbilt University (Nashville, TN)"
2011,1s,NA,60,FrRnd,60,Rays,Y,"$490,000 ",*James Harris (minors),OF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Oakland Technical HS (Oakland, CA)"
2012,1,NA,1,FrRnd,1,Astros,Y,"$4,800,000 ",Carlos Correa (minors),SS,40.9,1023,3860,173,0.272,0.82,NA,NA,NA,NA,NA,NA,HS,"Puerto Rico Baseball Academy (Gurabo, Puerto Rico)"
2012,1,NA,2,FrRnd,2,Twins,Y,"$6,000,000 ",Byron Buxton (minors),OF,21,670,2259,115,0.239,0.768,NA,NA,NA,NA,NA,NA,HS,"Appling County HS (Baxley, GA)"
2012,1,NA,3,FrRnd,3,Mariners,Y,"$4,000,000 ",Mike Zunino (minors),C,9.2,892,2798,149,0.199,0.676,NA,NA,NA,NA,NA,NA,4Yr,"University of Florida (Gainesville, FL)"
2012,1,NA,4,FrRnd,4,Orioles,Y,"$4,320,000 ",Kevin Gausman (minors),RHP,23,81,110,0,0.109,0.27,298,88,91,3.84,1.26,0,4Yr,"Louisiana State University (Baton Rouge, LA)"
2012,1,NA,5,FrRnd,5,Royals,Y,"$3,000,000 ",Kyle Zimmer (minors),RHP,0,4,0,0,NA,NA,83,5,2,5.19,1.54,2,4Yr,"University of San Francisco (San Francisco, CA)"
2012,1,NA,6,FrRnd,6,Cubs,Y,"$3,900,000 ",Albert Almora (minors),OF,3.2,600,1491,33,0.259,0.683,1,0,0,27,2,0,HS,"Mater Academy Charter School (Hialeah, FL)"
2012,1,NA,7,FrRnd,7,Padres,Y,"$3,000,000 ",Max Fried (minors),LHP,20.5,93,126,0,0.214,0.542,139,62,26,3.03,1.16,0,HS,"Harvard-Westlake HS (Los Angeles, CA)"
2012,1,NA,8,FrRnd,8,Pirates,N,,Mark Appel (minors),RHP,0.3,1,0,0,NA,NA,6,0,0,1.74,1.16,0,4Yr,"Stanford University (Palo Alto, CA)"
2012,1,NA,9,FrRnd,9,Marlins,Y,"$2,600,000 ",Andrew Heaney (minors),LHP,8,15,24,0,0.125,0.285,171,46,48,4.49,1.27,0,4Yr,"Oklahoma State University (Stillwater, OK)"
2012,1,NA,10,FrRnd,10,Rockies,Y,"$2,600,000 ",David Dahl (minors),OF,0.5,331,1152,43,0.271,0.78,NA,NA,NA,NA,NA,NA,HS,"Oak Mountain HS (Birmingham, AL)"
2012,1,NA,11,FrRnd,11,Athletics,Y,"$2,625,000 ",Addison Russell (minors),SS,11.3,615,1987,60,0.242,0.704,NA,NA,NA,NA,NA,NA,HS,"Pace HS (Pace, FL)"
2012,1,NA,12,FrRnd,12,Mets,Y,"$2,300,000 ",Gavin Cecchini (minors),SS,-0.5,36,83,1,0.217,0.571,NA,NA,NA,NA,NA,NA,HS,"Alfred M. Barbe HS (Lake Charles, LA)"
2012,1,NA,13,FrRnd,13,White Sox,Y,"$2,475,000 ",Courtney Hawkins (minors),OF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Mary Carroll HS (Corpus Christi, TX)"
2012,1,NA,14,FrRnd,14,Reds,Y,"$2,000,000 ",Nick Travieso (minors),RHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Archbishop McCarthy HS (Southwest Ranches, FL)"
2012,1,NA,15,FrRnd,15,Indians,Y,"$1,750,000 ",Tyler Naquin (minors),OF,3.1,562,1668,61,0.263,0.762,NA,NA,NA,NA,NA,NA,4Yr,"Texas A&M University (College Station, TX)"
2012,1,NA,16,FrRnd,16,Nationals,Y,"$2,925,000 ",Lucas Giolito (minors),RHP,12.5,13,18,0,0.167,0.333,180,61,62,4.43,1.25,0,HS,"Harvard-Westlake HS (Los Angeles, CA)"
2012,1,NA,17,FrRnd,17,Blue Jays,Y,"$1,750,000 ",D.J. Davis (minors),OF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Stone HS (Wiggins, MS)"
2012,1,NA,18,FrRnd,18,Dodgers,Y,"$2,350,000 ",Corey Seager (minors),SS,32,906,3489,170,0.292,0.873,NA,NA,NA,NA,NA,NA,HS,"Northwest Cabarrus HS (Concord, NC)"
2012,1,NA,19,FrRnd,19,Cardinals via Angels,Y,"$1,900,000 ",*Michael Wacha (minors),RHP,13,159,251,0,0.092,0.222,249,88,54,3.96,1.29,0,4Yr,"Texas A&M University (College Station, TX)"
2012,1,NA,20,FrRnd,20,Giants,Y,"$1,850,000 ",Chris Stratton (minors),RHP,1.8,138,64,0,0.125,0.264,302,37,24,4.43,1.41,12,4Yr,"Mississippi State University (Mississippi State, MS)"
2012,1,NA,21,FrRnd,21,Braves,Y,"$1,650,000 ",Lucas Sims (minors),RHP,2.6,92,27,0,0.074,0.148,187,21,13,4.52,1.26,11,HS,"Brookwood HS (Snellville, GA)"
2012,1,NA,22,FrRnd,22,Blue Jays,Y,"$1,800,000 ",*Marcus Stroman (minors),RHP,21.7,56,89,1,0.101,0.308,231,77,76,3.65,1.25,1,4Yr,"Duke University (Durham, NC)"
2012,1,NA,23,FrRnd,23,Cardinals,Y,"$1,600,000 ",James Ramsey (minors),OF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4Yr,"Florida State University (Tallahassee, FL)"
2012,1,NA,24,FrRnd,24,Red Sox,Y,"$2,050,000 ",Deven Marrero (minors),SS,-0.3,178,341,6,0.191,0.525,NA,NA,NA,NA,NA,NA,4Yr,"Arizona State University (Tempe, AZ)"
2012,1,NA,25,FrRnd,25,Rays,Y,"$1,710,000 ",Richie Shaffer (minors),3B,0,51,122,5,0.213,0.72,NA,NA,NA,NA,NA,NA,4Yr,"Clemson University (Clemson, SC)"
2012,1,NA,26,FrRnd,26,Diamondbacks,Y,"$1,700,000 ",Stryker Trahan (minors),C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Acadiana HS (Lafayette, LA)"
2012,1,NA,27,FrRnd,27,Brewers via Tigers,Y,"$1,675,000 ",*Clint Coulter (minors),C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Union HS (Camas, WA)"
2012,1,NA,28,FrRnd,28,Brewers,Y,"$1,525,000 ",Victor Roache (minors),OF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4Yr,"Georgia Southern University (Statesboro, GA)"
2012,1,NA,29,FrRnd,29,Rangers,Y,"$1,625,000 ",Lewis Brinson (minors),OF,-3.6,357,1071,28,0.198,0.574,NA,NA,NA,NA,NA,NA,HS,"Coral Springs HS (Coral Springs, FL)"
2012,1,NA,30,FrRnd,30,Yankees,Y,"$1,200,000 ",Ty Hensley (minors),RHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Edmond Santa Fe HS (Edmond, OK)"
2012,1s,NA,31,FrRnd,31,Red Sox,Y,"$1,575,000 ",*Brian Johnson (minors),LHP,0.9,6,7,0,0.143,0.286,65,7,9,4.74,1.55,0,4Yr,"University of Florida (Gainesville, FL)"
2012,1s,NA,32,FrRnd,32,Twins,Y,"$1,550,000 ",*Jos� Berr�os (minors),RHP,13.3,11,17,0,0.118,0.284,212,83,66,4.15,1.24,0,HS,"Papa Juan HS (Bayamon, Puerto Rico)"
2012,1s,NA,33,FrRnd,33,Padres,Y,"$1,200,000 ",*Zach Eflin (minors),RHP,10.3,93,167,1,0.126,0.298,158,52,53,4.28,1.24,1,HS,"Paul J. Hagerty HS (Oviedo, FL)"
2012,1s,NA,34,FrRnd,34,Athletics,Y,"$1,500,000 ",*Daniel Robertson (minors),SS,2.2,299,801,18,0.227,0.683,3,0,0,0,0.67,0,HS,"Upland HS (Upland, CA)"
2012,1s,NA,35,FrRnd,35,Mets,Y,"$1,400,000 ",*Kevin Plawecki (minors),C,2.4,447,1268,22,0.235,0.654,7,0,0,4.7,0.91,0,4Yr,"Purdue University (West Lafayette, IN)"
2012,1s,NA,36,FrRnd,36,Cardinals,Y,"$1,430,000 ",*Stephen Piscotty (minors),3B,6.5,726,2517,93,0.256,0.754,NA,NA,NA,NA,NA,NA,4Yr,"Stanford University (Palo Alto, CA)"
2012,1s,NA,37,FrRnd,37,Red Sox,Y,"$1,000,000 ",*Pat Light (minors),RHP,-0.7,2,0,0,NA,NA,17,0,1,11.34,2.28,0,4Yr,"Monmouth University (West Long Branch, NJ)"
2012,1s,NA,38,FrRnd,38,Brewers,Y,"$1,200,000 ",*Mitch Haniger (minors),OF,15.1,625,2375,118,0.256,0.796,NA,NA,NA,NA,NA,NA,4Yr,"California Polytechnic State University, San Luis Obispo (San Luis Obispo, CA)"
2012,1s,NA,39,FrRnd,39,Rangers,Y,"$2,250,000 ",*Joey Gallo (minors),3B,15.1,863,2646,198,0.197,0.789,NA,NA,NA,NA,NA,NA,HS,"Bishop Gorman HS (Las Vegas, NV)"
2012,1s,NA,40,FrRnd,40,Phillies,Y,"$1,291,300 ",*Shane Watson (minors),RHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Lakewood HS (Lakewood, CA)"
2012,1s,NA,41,FrRnd,41,Astros,Y,"$2,500,000 ",*Lance McCullers Jr. (minors),RHP,11.1,7,14,0,0.071,0.143,130,49,32,3.48,1.25,0,HS,"Jesuit HS (Tampa, FL)"
2012,1s,NA,42,FrRnd,42,Twins,Y,"$1,227,000 ",*Luke Bard (minors),RHP,0.8,2,0,0,NA,NA,55,4,4,4.44,1.11,0,4Yr,"Georgia Institute of Technology (Atlanta, GA)"
2012,1s,NA,43,FrRnd,43,Cubs,Y,"$1,196,000 ",*Pierce Johnson (minors),RHP,1.4,97,1,0,0,0,207,12,15,4.04,1.38,13,4Yr,"Missouri State University (Springfield, MO)"
2012,1s,NA,44,FrRnd,44,Padres,Y,"$975,000 ",*Travis Jankowski (minors),OF,3.9,577,1317,10,0.241,0.641,NA,NA,NA,NA,NA,NA,4Yr,"State University of New York at Stony Brook (Stony Brook, NY)"
2012,1s,NA,45,FrRnd,45,Pirates,Y,"$1,000,000 ",*Barrett Barnes (minors),OF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4Yr,"Texas Tech University (Lubbock, TX)"
2012,1s,NA,46,FrRnd,46,Rockies,Y,"$1,000,000 ",*Eddie Butler (minors),RHP,-2.3,58,61,0,0.049,0.129,79,12,22,5.8,1.66,2,4Yr,"Radford University (Radford, VA)"
2012,1s,NA,47,FrRnd,47,Athletics,Y,"$1,079,700 ",*Matt Olson (minors),1B,29.1,899,3272,230,0.256,0.873,NA,NA,NA,NA,NA,NA,HS,"Parkview HS (Lilburn, GA)"
2012,1s,NA,48,FrRnd,48,White Sox,Y,"$950,000 ",*Keon Barnum (minors),1B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"C. Leon King HS (Tampa, FL)"
2012,1s,NA,49,FrRnd,49,Reds,Y,"$1,000,000 ",*Jesse Winker (minors),RF,4.5,610,1934,81,0.264,0.813,NA,NA,NA,NA,NA,NA,HS,"Olympia HS (Orlando, FL)"
2012,1s,NA,50,FrRnd,50,Blue Jays,Y,"$2,000,000 ",*Matt Smoral (minors),LHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Solon HS (Solon, OH)"
2012,1s,NA,51,FrRnd,51,Dodgers,Y,"$984,700 ",*Jesmuel Valent�n (minors),SS,-0.7,46,79,1,0.177,0.562,1,0,0,27,4,0,HS,"Puerto Rico Baseball Academy (Gurabo, Puerto Rico)"
2012,1s,NA,52,FrRnd,52,Cardinals,Y,"$678,790 ",*Patrick Wisdom (minors),3B,3.5,380,1153,80,0.214,0.766,NA,NA,NA,NA,NA,NA,4Yr,"Saint Mary's College of California (Moraga, CA)"
2012,1s,NA,53,FrRnd,53,Rangers,Y,"$975,000 ",*Collin Wiles (minors),RHP,0,0,0,0,NA,NA,4,0,0,4.66,1.34,0,HS,"Blue Valley West HS (Stilwell, KS)"
2012,1s,NA,54,FrRnd,54,Phillies,Y,"$940,200 ",*Mitch Gueller (minors),RHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"W. F. West HS (Chehalis, WA)"
2012,1,NA,55,FrRnd,55,Padres,Y,"$2,000,000 ",*Walker Weickel (minors),RHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Olympia HS (Orlando, FL)"
2012,1s,NA,56,FrRnd,56,Cubs,Y,"$911,700 ",*Paul Blackburn (minors),RHP,2.3,2,5,0,0,0,72,17,24,4.9,1.43,0,HS,"Heritage HS (Brentwood, CA)"
2012,1s,NA,57,FrRnd,57,Reds,Y,"$825,000 ",*Jeff Gelalich (minors),OF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4Yr,"University of California, Los Angeles (Los Angeles, CA)"
2012,1s,NA,58,FrRnd,58,Blue Jays,Y,"$1,000,000 ",*Mitch Nay (minors),3B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Hamilton HS (Chandler, AZ)"
2012,1s,NA,59,FrRnd,59,Cardinals,Y,"$700,000 ",*Steve Bean (minors),C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Rockwall HS (Rockwall, TX)"
2012,1s,NA,60,FrRnd,60,Blue Jays,Y,"$750,000 ",*Tyler Gonzales (minors),RHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"James Madison HS (San Antonio, TX)"
2013,1,NA,1,FrRnd,1,Astros,Y,"$6,350,000 ",Mark Appel (minors),RHP,0.3,1,0,0,NA,NA,6,0,0,1.74,1.16,0,4Yr,"Stanford University (Palo Alto, CA)"
2013,1,NA,2,FrRnd,2,Cubs,Y,"$6,708,400 ",Kris Bryant (minors),3B,28.2,1006,3747,182,0.276,0.863,NA,NA,NA,NA,NA,NA,4Yr,"University of San Diego (San Diego, CA)"
2013,1,NA,3,FrRnd,3,Rockies,Y,"$4,800,000 ",Jon Gray (minors),RHP,13.6,141,242,1,0.091,0.25,205,69,64,4.45,1.31,0,4Yr,"University of Oklahoma (Norman, OK)"
2013,1,NA,4,FrRnd,4,Twins,Y,"$4,544,400 ",Kohl Stewart (minors),RHP,0.2,4,3,0,0.333,0.667,21,5,4,4.88,1.48,0,HS,"St. Pius X HS (Houston, TX)"
2013,1,NA,5,FrRnd,5,Indians,Y,"$3,500,000 ",Clint Frazier (minors),3B,0,280,810,29,0.235,0.739,NA,NA,NA,NA,NA,NA,HS,"Loganville HS (Loganville, GA)"
2013,1,NA,6,FrRnd,6,Marlins,Y,"$3,516,500 ",Colin Moran (minors),3B,-0.2,502,1520,50,0.263,0.743,NA,NA,NA,NA,NA,NA,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)"
2013,1,NA,7,FrRnd,7,Red Sox,Y,"$2,750,000 ",Trey Ball (minors),LHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"New Castle Chrysler HS (New Castle, IN)"
2013,1,NA,8,FrRnd,8,Royals,Y,"$2,200,000 ",Hunter Dozier (minors),SS,-2.6,594,2093,73,0.238,0.725,1,0,0,18,3,0,4Yr,"Stephen F. Austin State University (Nacogdoches, TX)"
2013,1,NA,9,FrRnd,9,Pirates,Y,"$3,029,600 ",*Austin Meadows (minors),CF,6.4,417,1507,70,0.259,0.806,NA,NA,NA,NA,NA,NA,HS,"Grayson HS (Loganville, GA)"
2013,1,NA,10,FrRnd,10,Blue Jays,N,,Phil Bickford (minors),RHP,0.6,58,3,0,0.333,0.667,179,11,8,4.43,1.24,2,HS,"Oaks Christian HS (Westlake, CA)"
2013,1,NA,11,FrRnd,11,Mets,Y,"$2,600,000 ",Dominic Smith (minors),1B,1.1,600,1771,58,0.248,0.721,NA,NA,NA,NA,NA,NA,HS,"Junipero Serra HS (Gardena, CA)"
2013,1,NA,12,FrRnd,12,Mariners,Y,"$2,759,100 ",D.J. Peterson (minors),3B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4Yr,"University of New Mexico (Albuquerque, NM)"
2013,1,NA,13,FrRnd,13,Padres,Y,"$2,678,000 ",Hunter Renfroe (minors),RF,10.3,841,2938,177,0.239,0.777,NA,NA,NA,NA,NA,NA,4Yr,"Mississippi State University (Mississippi State, MS)"
2013,1,NA,14,FrRnd,14,Pirates,Y,"$2,369,800 ",Reese McGuire (minors),C,1.7,302,803,13,0.259,0.679,1,0,0,0,0,0,HS,"Kentwood HS (Covington, WA)"
2013,1,NA,15,FrRnd,15,Diamondbacks,Y,"$2,250,000 ",Braden Shipley (minors),RHP,-0.1,25,34,0,0.088,0.206,26,4,6,5.49,1.6,0,4Yr,"University of Nevada, Reno (Reno, NV)"
2013,1,NA,16,FrRnd,16,Phillies,Y,"$2,299,300 ",J.P. Crawford (minors),SS,15.7,668,2407,46,0.252,0.72,NA,NA,NA,NA,NA,NA,HS,"Lakewood HS (Lakewood, CA)"
2013,1,NA,17,FrRnd,17,White Sox,Y,"$2,164,000 ",Tim Anderson (minors),SS,16.2,895,3622,98,0.282,0.735,NA,NA,NA,NA,NA,NA,JC,"East Central Community College (Decatur, MS)"
2013,1,NA,18,FrRnd,18,Dodgers,Y,"$2,109,900 ",Chris Anderson (minors),RHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4Yr,"Jacksonville University (Jacksonville, FL)"
2013,1,NA,19,FrRnd,19,Cardinals,Y,"$1,850,000 ",Marco Gonzales (minors),LHP,8.5,18,23,0,0.217,0.565,163,65,49,4.14,1.29,0,4Yr,"Gonzaga University (Spokane, WA)"
2013,1,NA,20,FrRnd,20,Tigers,Y,"$2,001,700 ",Jonathon Crawford (minors),RHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4Yr,"University of Florida (Gainesville, FL)"
2013,1,NA,21,FrRnd,21,Rays,Y,"$1,972,200 ",Nick Ciuffo (minors),C,-0.2,21,48,1,0.188,0.551,NA,NA,NA,NA,NA,NA,HS,"Lexington HS (Lexington, SC)"
2013,1,NA,22,FrRnd,22,Orioles,Y,"$1,947,600 ",Hunter Harvey (minors),RHP,3.4,1,0,0,NA,NA,121,7,7,2.84,1.05,10,HS,"Bandys HS (Catawba, NC)"
2013,1,NA,23,FrRnd,23,Rangers,Y,"$2,215,000 ",Chi Chi Gonz�lez (minors),RHP,-0.3,37,55,0,0.109,0.252,71,9,24,5.68,1.5,0,4Yr,"Oral Roberts University (Tulsa, OK)"
2013,1,NA,24,FrRnd,24,Athletics,Y,"$1,800,000 ",Billy McKinney (minors),CF,-0.2,311,818,34,0.209,0.674,NA,NA,NA,NA,NA,NA,HS,"Plano West HS (Plano, TX)"
2013,1,NA,25,FrRnd,25,Giants,Y,"$1,866,500 ",Christian Arroyo (minors),SS,2,295,917,24,0.252,0.693,1,0,0,0,2,0,HS,"Hernando HS (Brooksville, FL)"
2013,1,NA,26,FrRnd,26,Yankees,Y,"$1,839,400 ",Eric Jagielo (minors),3B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4Yr,"University of Notre Dame (South Bend, IN)"
2013,1,NA,27,FrRnd,27,Reds,Y,"$1,812,400 ",Phil Ervin (minors),CF,0.4,237,586,17,0.247,0.728,1,0,0,0,0,0,4Yr,"Samford University (Homewood, AL)"
2013,1,NA,28,FrRnd,28,Cardinals via Brewers,Y,"$1,785,300 ",*Rob Kaminsky (minors),LHP,-0.1,0,0,0,NA,NA,5,0,0,1.93,1.07,0,HS,"St. Joseph Regional HS (Montvale, NJ)"
2013,1,NA,29,FrRnd,29,Rays via Braves,Y,"$1,755,800 ",*Ryne Stanek (minors),RHP,4.3,37,0,0,NA,NA,338,10,14,3.45,1.27,4,4Yr,"University of Arkansas (Fayetteville, AR)"
2013,1,NA,30,FrRnd,30,Rangers via Angels,Y,"$1,900,000 ",*Travis Demeritte (minors),SS,-1.7,92,287,6,0.216,0.605,1,0,0,36,4,0,HS,"Winder-Barrow HS (Winder, GA)"
2013,1,NA,31,FrRnd,31,Braves via Indians,Y,"$1,704,200 ",*Jason Hursh (minors),RHP,-0.2,11,0,0,NA,NA,11,1,0,8.25,2,0,4Yr,"Oklahoma State University (Stillwater, OK)"
2013,1,NA,32,FrRnd,32,Yankees via Indians,Y,"$1,800,000 ",*Aaron Judge (minors),CF,41.5,835,3005,257,0.282,0.982,NA,NA,NA,NA,NA,NA,4Yr,"California State University, Fresno (Fresno, CA)"
2013,1,NA,33,FrRnd,33,Yankees via Nationals,Y,"$1,650,100 ",*Ian Clarkin (minors),LHP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Madison HS (San Diego, CA)"
2013,1,NA,34,FrRnd,34,Royals,Y,"$3,550,000 ",Sean Manaea (minors),LHP,12,8,14,0,0.214,0.552,196,65,56,4.1,1.22,1,4Yr,"Indiana State University (Terre Haute, IN)"
2013,1,NA,35,FrRnd,35,Marlins,N,,Matt Krook (minors),LHP,-0.4,0,0,NA,NA,NA,4,0,0,24.75,3.5,0,HS,"St. Ignatius College Preparatory (San Francisco, CA)"
2013,1,NA,36,FrRnd,36,Diamondbacks,Y,"$1,435,000 ",Aaron Blair (minors),RHP,-2,16,22,0,0.091,0.221,16,2,8,7.89,1.73,0,4Yr,"Marshall University (Huntington, WV)"
2013,1,NA,37,FrRnd,37,Orioles,Y,"$1,450,000 ",Josh Hart (minors),CF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HS,"Parkview HS (Lilburn, GA)"
2013,1,NA,38,FrRnd,38,Reds,Y,"$1,500,000 ",Michael Lorenzen (minors),RHP,9.4,321,133,7,0.233,0.71,342,40,38,4.11,1.32,15,4Yr,"California State University, Fullerton (Fullerton, CA)"
2013,1,NA,39,FrRnd,39,Tigers,Y,"$1,433,400 ",Corey Knebel (minors),RHP,5.6,231,2,0,0,0,312,13,16,3.26,1.24,72,4Yr,"University of Texas at Austin (Austin, TX)"